dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports
0.615819,tcp,http,FIN,10,10,954,1334,30.853223,62,252,11159.12305,15601.98731,2,2,68.424333,57.317891,4287.301087,113.456734,255,2183988215,225286235,255,0.094157,0.033714,0.060443,95,133,1,201,1,1,1,1,1,1,0,0,1,2,1,0
2.110719,tcp,-,FIN,12,10,994,820,9.949217,254,252,3456.64209,2797.151123,3,2,191.794,217.832109,11429.88794,436.091,255,3639080578,897984955,255,0.274149,0.150221,0.123928,83,82,0,0,1,1,2,1,1,1,0,0,0,1,1,0
0.000929,udp,dns,CON,2,2,130,162,3229.27889,31,29,559741.6875,697524.25,0,0,0.003,0.006,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,81,0,0,5,0,6,1,1,1,0,0,0,5,4,0
0.504527,tcp,-,FIN,14,14,4706,1164,53.515474,254,252,69292.625,17140.80859,4,5,38.80977,37.62977,1980.897753,48.58943,255,2831566218,4041370690,255,0.053717,0.00817,0.045547,336,83,0,0,1,1,1,1,1,2,0,0,0,1,1,0
1.1e-05,udp,dns,INT,2,0,114,0,90909.0902,254,0,41454544.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,9,2,4,4,4,4,0,0,0,8,9,0
9e-06,mhrp,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,2,2,2,1,1,2,0,0,0,1,2,0
5e-06,udp,dns,INT,2,0,114,0,200000.0051,254,0,91200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,28,2,25,25,25,28,0,0,0,25,28,0
1.005817,tcp,http,FIN,12,18,1580,10168,28.832281,31,29,11524.95898,76387.64844,3,5,91.404455,59.135411,9530.933789,7675.414458,255,3937596787,3934402442,255,0.000637,0.000511,0.000126,132,565,1,3924,1,0,1,1,1,1,0,0,1,1,2,0
0.192416,tcp,http,FIN,10,6,934,268,77.956096,254,252,34965.90625,9313.155273,2,1,19.576222,37.192801,1047.155785,63.040148,255,3311687440,1059324989,255,0.050979,0.006443,0.044536,93,45,1,0,2,1,1,1,1,1,0,0,1,1,1,0
1e-05,unas,-,INT,2,0,200,0,100000.0025,254,0,80000000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,2,3,3,3,3,0,0,0,3,3,0
